tutor_id,nombre_tutor,correo_institucional,telefono_extension,academia,estatus
TUT027,Lic. Cruz Hernández López,liccruzhernnde@cbtis134.edu.mx,105,Orientación,Activo
TUT028,Mtro. Alejandro Martínez Mendoza,mtroalejandrom@cbtis134.edu.mx,104,Humanidades,ACTIVO
TUT029,Dr. Óscar Martínez Torres,drscarmartnezt@cbtis134.edu.mx,204,Inglés,Activo 
TUT030,Mtro. Gabriela Ramírez Ríos,mtrogabrielara@cbtis134.edu.mx,105,Orientación,ACTIVO
TUT031,Lic. Rosa Martínez Campos,licrosamartnez@cbtis134.edu.mx,202,Tutorías,ACTIVO
TUT032,Mtro. Celia Beltrán Ríos,mtroceliabeltr@cbtis134.edu.mx,204,Construcción,ACTIVO
TUT033,Mtro. Rubén Hernández Torres,mtrorubnhernnd@cbtis134.edu.mx,202,Programación,Actlvo
TUT034,Mtro. Arturo Ponce Vargas,mtroarturoponc@cbtis134.edu.mx,204,Matemáticas,interino
TUT035,Mtra. Alejandro Cervantes Martínez,mtraalejandroc@cbtis134.edu.mx,106,Tutorías,Actlvo
TUT036,Q.B.P. Rubén Reyes Campos,qbprubnreyesca@cbtis134.edu.mx,106,Construcción,Activo 
TUT037,Dra. Esteban García López,draestebangarc@cbtis134.edu.mx,101,Química,Activo
TUT038,Lic. Diana López Reyes,licdianalpezre@cbtis134.edu.mx,204,Orientación,ACTIVO
TUT039,Q.B.P. Miriam Hernández Ríos,qbpmiriamhernn@cbtis134.edu.mx,102,Administración,Activo 
TUT040,Mtro. Gabriela Ríos López,mtrogabrielaro@cbtis134.edu.mx,202,Programación,Licencia
TUT041,Lic. Verónica Castro Reyes,licvernicacast@cbtis134.edu.mx,106,Programación,Activo 
TUT042,Lic. Esteban Martínez Beltrán,licestebanmart@cbtis134.edu.mx,201,Administración,Activo 
TUT043,Dra. Verónica Salgado Molina,dravernicasalg@cbtis134.edu.mx,203,Humanidades,Licencia
TUT044,Mtra. Rubén Torres Beltrán,mtrarubntorres@cbtis134.edu.mx,103,Tutorías,Activo 
TUT045,Mtra. Raúl Campos Flores,mtraralcamposf@cbtis134.edu.mx,204,Programación,Actlvo
TUT046,Q.B.P. Miriam Vargas Molina,qbpmiriamvarga@cbtis134.edu.mx,104,Inglés,ACTIVO
TUT047,Mtra. Patricia Reyes Martínez,mtrapatriciare@cbtis134.edu.mx,106,Inglés,Actlvo
TUT048,Lic. Laura Salgado Mendoza,liclaurasalgad@cbtis134.edu.mx,103,Programación,interino
TUT049,Mtra. Sonia Salgado Torres,mtrasoniasalga@cbtis134.edu.mx,202,Matemáticas,Activo 
TUT050,Dr. Patricia Torres Campos,drpatriciatorr@cbtis134.edu.mx,201,Orientación,Activo 
TUT051,Lic. Gabriela Castro Martínez,licgabrielacas@cbtis134.edu.mx,104,Química,Activo 
TUT052,Ing. Verónica Martínez Beltrán,ingvernicamart@cbtis134.edu.mx,201,Inglés,Activo 
TUT053,Mtra. Raúl Castro Beltrán,mtraralcastrob@cbtis134.edu.mx,204,Química,Activo 
TUT054,Q.B.P. Rosa Reyes Vargas,qbprosareyesva@cbtis134.edu.mx,205,Humanidades,ACTIVO
TUT055,Mtro. Sonia Beltrán Mendoza,mtrosoniabeltr@cbtis134.edu.mx,201,Matemáticas,interino
TUT056,Mtro. Arturo Flores Martínez,mtroarturoflor@cbtis134.edu.mx,106,Química,Activo
