alumno_id,matricula,nombre,apellido_paterno,apellido_materno,fecha_nacimiento,curp,sexo,grado,semestre,grupo,especialidad_id,especialidad,turno,situacion_escolar_id,situacion_escolar,promedio_general,reputacion,usuario_correo,telefono_contacto,nacionalidad_id,nacionalidad,pais_origen,municipio,estado,domicilio,codigo_postal,fecha_ingreso,beca,estatus_pago_cooperacion,promedio_ingreso,asistencia_pct,riesgo_academico,grupo_id,tutor_id,jefe_grupo_id,curp_validada,acta_nacimiento,seguro_medico,tipo_sangre,contacto_emergencia,telefono_emergencia
ALU0011,134262A0011,Chen Yu,Flores,,21 May 2006,FOGN060521MGRLTXG3,M,2°,S2,A,PROG,Programación,vespertino,se01,Regular,64%,Buena,noaflores.2a@outlook.com,+52 381 867 4591, N01, mx ,México,Chilapa,Oaxaca,"Calle Juárez #679, Col. Figueroa Mata",39039,2025-01-14,Beca Benito Juárez,PAGADO,9.4,s/d,Medio,g029,TUT029,JEF020,NO,OK,ISSSTE,O+,Padre,586-871-8359
ALU0012,134265B0012,Jorge Alberto,Moreno,Santos,25/11/2005,mosl051125hgrrnxf7,m,5°,V,B ,OFI,OFIMÁTICA,vespertino,se03,Condicionado,"9,7 ",buena,leomoreno-est@alumno.cbtis134.mx,2971516736, N06,ESPAÑA,ESPAÑA,TIXTLA,Morelos,"Vicente Guerrero #737, Col. 20 de Noviembre",39407,10/08/24, ,NA,89%,,BAJO, G103,TUT053,JEF028,0,Entregada,Ninguno,O ?,,+52 895 920 2760
ALU0013,134261D0013,Hye Jin,Sánchez,Ortiz,25-O8-2005,SAOR050825HGRNRCG4,H ,1,I,d,ofi, Ofimática,Vespertino, SE01, regular, 9.2,media,ricardosanchez-est@gmail.com,949-503-6981,NO1,MEXICO,Mex.,null,CDMX,"5 de Mayo #434, Col. Los Sauces",39010,03/16/2024,Si,Pagado,>=9,s/d,alto ,G026,TUT019, JEF011,s/i,pendiente,IMSS,,Hermano,+52 914 513 4437 
ALU0014,134265A0014,Juan Alejandra,Romero,Carrillo,2006/12/28,ROCJ061228HGRMRNR4,H,5°,v,a,OFI,Ofimatica,VESPRETINO, SE06,Reinscrito,8.80,Aceptable,null,+52 075 896 2912,n01,Mex.,Mexíco,,Oaxaca,"Niños Héroes #115, Col. Los Sauces",39521,16/09/25,,Pagado,8.00,"70,0",alto ,G096, TUT026,jef035,NO,OK,IMMS,A+,Padre,6449219066
,134265C0015,Diego Guadalupe,López,Campos,11.O2.2006,LOCD060211HGRPMGN8,m,5°,S5, C,CONT,CONTABILIDAD,Vespertnio,se01,R3gular,7.7,Bueena,diegolopez.5c@cbtisI34.edu.mx,7473389998, N01,Méxcio ,Mex1co,Quechultenango,CDMX,"Benito Juárez #94, Col. Lomas del Poniente",39461,28.06.2026,N/A,pendlente,71%,"78,0",M3dio,g109, TUT016,jef021,Pendiente,OK,Particular,B+,Vecino,+52 325 408 3314
ALU0016,134264A0016,Carlos Eduardo,Rivera,Padilla,26-Mar-11,RIPD110326HGRVDVH5,H,4,S4,a,PR0G, Programación,Vespertino, SE01,REGULAR,80%,Medla, davidrivera86@hotmail.com,969-007-0476,NO1,Mex.,Mexíco,Iguala,Oaxaca,"Miguel Alemán #272, Col. Centro",39600,17-09-2026,s/i,Pagado,"9,1","62,0",M3dio, G071,TUTO52,jef018,SI,OCR,IMMS, b-,Tutor,7002118217
ALU0017,134261D0017,Sofía Alejandra,Castro,Bustamante,03.09.2007,CABS070903MGRSSMZ0,M,1°,1,D ,PROG,Programación,,SE01,R3gular,8.6,destacado,samcastro@alumno.cbtis134.mx,34 3458 6282,NO1,MEXIC0 ,Méxcio ,,CDMX,"5 de Mayo #49, Col. Emiliano Zapata",39O12,17/08/24,NO,Pendiente,9.60,,M3dio,G022, TUT027,jef015,,,Ninguno,B-,Madre,3606426727
ALU0018,s/d, Alejandra Héctor ,Guerrero,Silva,09-Apr-09,GUSA090409MGRRLLS7,M,3°,III,a,CONT,Contabilidad,Vespertino, SE05,Baja def.,9.2,Excelente,alejandraguerrero16 @cbtisI34..edu.mx,8931234939,N01,Mexico,Mex.,Iguala,Guerrero,"Hidalgo #621, Col. Universal",39699, ,No,Pendiente,7.1,67.2,Alto,g053,TUTOO8, ,s/d,Entregada,IMMS,AB+,Vecino,(469) 512 6508
ALU0019,134265B0019,Lucía Elena,Castro,Gómez,O1/12/2009,CAGA090112MGRSMLN3,F,5°,5 SEMESTRE, B,CONT,Contabilidad,vespertino,se01, regular,9.5,reservado,ALEJANDRACASTRO.5B@GMAIL.COM,NULL,N01, mx ,Mexico,,CDMX,"Vicente Guerrero #353, Col. Lomas del Poniente",39O12,null,s/i,PÁGADO ,67%,86.2,alto ,G102,TUTOO9 , JEF033,Pendiente,OK, Ningnuo,B-,Padre,+52 402 909 0265
ALU0020,134262C0020,María Fernanda,Feng,Lin,2006/02/12,NULL,m,2,2 semestre, C,lab,LABORATORISTA QUÍMICO,matutino, SE02,Irreg.,6.9,Destacdo,lanfeng_134@cbtis134.edu.mx,+52 292 265 0266,n02,Ch1na,Rep.P. China,,oaxaca ,"16 de Septiembre #306, Col. CNOP",39559,11-07-2025,,NA,9.5,s/d,Medio,g049,TUTOO9,jef009,SI,No localizada,Ninguno,A+,Hermnao,126-428-4562
ALU0021,134266A0021,Daniel Emiliano,Salgado,Luna,26/07/06,SALD060726MGRLNNX0,F,6°,6,A ,PROG,PROGRAMACIÓN,Vespertino,se01,REGULAR,9.0, EXCELENTE,dianasalgado@gmail.com,2134004005,NO1,Mexíco,Mex1co,Chilapa, CDMX,"Niños Héroes #275, Col. Universal",39O12,23.04.2024,si ,Pendiente,7.8,74%,Alto,g113,TUT035,JEFO35,Pendiente,pendiente,N/A,A+,Padre,31 3948 4821
ALU0022 , 134262C0022,Li Wei,Morales,Gutiérrez,28-Jun-09,MOGA090628HGRRTDK5,M,2°,2 semestre,C,PROG,Programacion,vespertino, SE06,reinscrito,9.0,Bueena,adrianmorales.2c@hotmail.com,(652) 578 3242,N01,N/A, mx  ,,Edo. Mex.," 5 de Mayo #820, Col. Los Sauces",,03/12/2024,5í ,pendlente,7.9,"67,0",BAJO,N/A,tut047,JEFOO1,,OK,ISSSTE,s/d,Vecino,+52 445 239 5536
ALU0023,134263A0023,Luis Ángel,García,Reyes,21.10.2005,GARB051021MGRRYRJ7,f,3°, 3 semestre,a,OFI,Ofimática,Vespertino,se05,Baja def.,7.8,Baja,briandagarcia_134@cbtisI34.edu.mx,4229103439,N/A,México,Méxc1o, Chilapa,Edo. Méx.,"Hidalgo #110, Col. Universal",,15.07.2023,beca?,PAGADO,"8,8",78%,Medio, G054, TUT004,jef035,,Entregada,Ninguno,NA,Tutor,62 6233 7891
ALU0024,134263B0024,Natalia Saúl,Díaz,,04/28/2007,DIAN070428MGRZCTM4,F,3°,3°, b ,lab,LABORATORISTA QUÍMICO,matutino, SE01,Reg.,7.0,Bajaa,nataliadiaz @cbtisI34.edu.mx,(696) 017 7494, NO1 ,Mexíco,MEXICO,Coyuca,Edo. Méx.,"Benito Juárez #476, Col. CNOP",39977,2023/03/16,NO,parcial,7.0,58%,,G063,TUTO34,JEFO25,s/i,No localizada,ISSSTE,0+,Hermano,905-218-3308
 ,134262C0025,Andrea Sara,López,Beltrán, 15.02.2005,LOBA050215MGRPLNC9,M,2,2 semestre,C ,PROG,Programación,Vespertino,SE01,REGULAR,9.8,Aceptable,andrealopez_134@cbtis134.edu.mx,56 4213 O650,NO1,Mex1co,Méxcio,Tlapa,Edo. Mex.,"Benito Juárez #436, Col. Los Sauces",39478,25-Jun-25,Beca Benito Juárez,pendlente,8.2,"83,0",Bajo,G043,TUTO29,jef005,0,OK,IMSS,O+,Vecino,15 6675 2102
ALU0026,134262A0026,Aarón Santiago,Cano,Nava,27-Nov-08,CANA081127HGRNVRE4,M,2°,2 semestre, A,cons,CONSTRUCCIÓN,Matutino,SE01,R3gular,6.40,Aceptable,aaroncano_134@cbtisI34.edu.mx,36 7685 7482,N01,Mex1co,Mexíco,Chilpancingo,Puebla,"Calle Juárez #332, Col. Centro",,2026/07/06,Si,Pagado,91%,s/d,Bajo, G034, TUT009,jef037,0,NULL,Ninguno,A+,Tutor,(942) 611 9911
ALU0027,I34265A0027,Jae Hyun,Canto,Gómez,27-03-2006,CAGE060327MGRNMSG7,F,5°,S5,A,LAB,Laboratorista Químico,matutino, ,R3gular,9.60,Aceptable,esmeraldacanto36 @hotmail.com,247-507-0907,s/d, mx ,Mexíco,Tixtla,Puebla,"16 de Septiembre #907, Col. San Rafael Norte",39331,02/11/2025,No,Pendiente,7.1,61%,,G098, TUT023, JEF008,SI,No localizada,N/A,NA, Vecino,52 9296 7812
ALU0028, 134236A0028,Chen Yu,Kim,Park,2009/01/31,KIPM090131MGRMRNW5,f,3°,S3, a ,CONT,Contabilidad,NA, SE07,Egresado parc1al,NULL,media,minseokim92@outlook.com,(308) 556 0745,n04,Corea,NULL,Coyuca ,CDMX,"Miguel Alemán #82, Col. CNOP",39O12,04-01-2023,Beca Benito Juárez,Pendiente,8.2,59%,M3dio,G053,tut008,JEF008,,OCR,IMSS,O ?,Tía,(229) 793 5721
ALU0029,134264B0029,Daniel Emiliano,Vega,Noriega,21 Sep 20O6,VENS060921HGRGRLU4,M,4°,4 semestre,b,OF1,Ofimatica,Vespertino ,SE06,Reinscrito,7.5,buena,saulvega7@cbtisI34.edu.mx,NA,n01,mexico, MEXICO,Taxco, Edo. Méx.,"Av. Lázaro Cárdenas #94, Col. Emiliano Zapata",39O12, 19.08.2023,,parcial,8.8,53%,,g082,tut018,jef036,1,No localizada,Particular,O-,Madre,(911) 626 2043
ALU0030,134261A0030,EMILY ROSE,Vega,Beltrán,12.12.2010,VEBL101212MGRGLCT6,M,null,I,A  ,CONT,Contabilidad,Vespertino,SE01,REGULAR,>=9,Regular,luciavega.1a@gmail.com,(968) 808 7928,NO1,Mexico,MEXICO,COYUCA,Oaxaca,"Av. Insurgentes #70, Col. Los Sauces",39744,2025/03/26,s/i,parcial,"8,5","72,0",Alto,G004,tut046,JEOF41,s/i,Entregada,IMMS,A-,Tía,(584) 945 0916
ALU0031 ,134262A0031,Wáng Hao,López,Padilla,27/1O/2007,LOPJ071027HGRPDSP2,M,2°,S2,a,cont,Contabilidad,vespertino,SE01,R3gular,7.7,Reservado,joselopez@gmail.com,284-771-8766,n01, mx , mx ,,Oaxaca,"5 de Mayo #896, Col. Emiliano Zapata",,18-Dec-23,s/i,NA,7.4,81%,NULL,G032,TUTO42 ,JEFO24,0,No 1ocalizada,N/A,desconocido,Tía,92 2620 4912
ALU0032,134263B0032,Miguel Ángel,Xu,Hu,12/20/2006,XUHJ061220HGRXXXG5,H,3,S3,B ,ARH,NA,Vespertino, SE01,R3gular,9.9,regular,s/d,19 6653 5280,n02,CHINA,Rep. Popular China,ZUMPANGO,CDMX,"16 de Septiembre #539, Col. Universal",39356,08 May 2024,Sí,Pendiente,8.5,s/d,Bajo,G059,TUT046,JEFO42,0,No localizada,1MMS,0+,Tutor,21 1576 5147
ALU0033,134266A0033,Diego Alejandro,Zhou,Wu,27.09.2011, ,m,6°,6 semestre,A ,PROG,Programación,vespertino, SE01,Regular,"9,1",Bajaa,linzhou-est@cbtisI34.edu.mx,+52 955 739 3297,n02,china ,China,NA,Edo. Méx.,"5 de Mayo #71, Col. Lomas del Poniente",39O12,15 Jun 2O24,Beca Benito Juárez,Pagado,9.3,86.8,Alto,g113,TUT035,JEF005,,No localizada,IMMS,O+,Hermano,7068736006
ALU0034 , 134266CO034,Renata Ivanna,Martínez,Méndez,19.01.2010,MAMK100119HGRRNVF7,H,6°,VI, C,PROG,Programación,Vespertino, SE01, regular,"6,3",Reservado,kevinmártinez-est @hotmail.com,804-246-5356,n01,Mex1co,Méxcio,Tixtla,Edo. Méx.,"Benito Juárez #948, Col. PRD",39717,17-Aug-24,,parcial,9.3,NA,Alto, G127,tut033,JEFO17,SI,PENDIENTE,ISSSTE,O ?,Tutor,(833) 580 8010
ALU0035,134263B0035,Chen Yu,Thompson,Clark,N/A,TOCL070115HGRHLCO2,M, ,3, B,IA,INTELIGENCIA ARTIFICIAL,vespertino, SE01,Reg.,7.8,Bueena,lucasthompson52@outlook..com,273-185-6743,n05,USA,Estados Unldos,Acapulco,Puebla,"Av. Lázaro Cárdenas #836, Col. Figueroa Mata",39207, 11/24/2023,s/i,PAGADO,8.9,90.6,Alto, G058,tut029,JEF026,1,No localizada,Ninguno,null, Hermano,(886) 815 8453 
ALU0847,134261C0847,Carlos Eduardo,Ruiz,Gutiérrez,2005/12/29,RUGA051229MGRZTBU1,F,1°,1 semestre,C,prog,PROGRAMACIÓN,vespertino,se01,R3gular,6.3,Reservado,abrilruiz_134@alumno.cbtis134.mx,+52 593 400 9412,NO1,Mexíco,México,Chilapa,Oaxaca,"Benito Juárez #603, Col. San Rafael Norte",39O12,2024/02/23,beca?,PAGADO,7.5,null,Alto,g015,tut012,jef032,s/i,No localizada,ISSSTE,A-,Padre,
ALU0037,134263A0037,Fernanda Abril,Ortega,Santos,15.07.2008,OESM080715MGRRNNM6,,3,3,A,ARH,ADMINISTRACIÓN DE RECURSOS HUMANOS,vespertino, SE01,R3gular,93%,Bajaa,monicaortega.3a@cbtisI34.edu.mx,(174) 284 9199,n01,Mex1co,MEXICO,Coyuca,Oaxaca,"Benito Juárez #833, Col. Universal",39293,06/17/2025,Beca Benito Juárez,Pendiente,8.5,s/d,BAJO, G052,TUT022,JEFO28, 0,Entregada,ISSSTE,A-,Madre, 2850767562
ALU0038,NULL,Emily Rose,Ahn,Nam,04/10/08,AXNJ081004HGRHMWG5,M,2°,2 semestre, C,cons,Construcción,Matutino ,se01, regular,7.2,NULL,jiwonahn-est@alumno.cbtis134.mx,(913) 125 4O92,N03,South Korea,corea del sur, TLAPA,Puebla,"Hidalgo #425, Col. Centro",39869,13/04/24,beca?,PAGADO,7.7,62.0,M3dio,G048,tut031,JEFO39,0,pendiente,Particular,O-,Tía,0765719925
ALU0039,134266B0039,CHEN YU,Cho,Yoon,2009/08/22,COYS090822MGRHNJA2,f,6°,6 semestre,B ,OFI,Ofimática,Vespert1no, SE02,Irregu1ar,>=9,Medla,seojuncho.6b@alumno.cbtis134.mx,(565) 149 2177,NA,Corena,Korea,,CDMX,"Hidalgo #240, Col. PRD",39892,19.O5.2026, beca?,pendlente,9.4,87.1,,G124, TUT056,jef020,NO,Entregada,Particular,AB+,,2539232668
ALU0040,I34262C0040, Chen Yu ,Ruiz,campos,15-02-2009,RUCI090215HGRZMVT2,M,2,2 semestre,C ,ia, Inteligencia Art1ficial,Vespertino,se01, regular,"9,2",Media,ivanruiz_134@cbtisI34.edu.mx,3739733547,N01, mx ,Mexíco,,CDMX,"Miguel Alemán #242, Col. Centro",39O12,30 Dec 2023,s/i,parcial,"9,5","51,0",alto , G044,TUT002,JEFO36,s/i,No localizada ,Particular,B+,,(286) 200 2718
,134262A0041,Micháel James,Guo,Ma,13-Dec-11,GUMQ111213MGRXXNB1,M,2°,2,a, PROG ,NULL,Vespertino,SE01,REGULAR,9.5,Resevado,qianguo_134@gmail.com,62 5809 9171,NO2,Ch1na,China,s/d,Puebla,"Av. Insurgentes #138, Col. CNOP",39302,12/04/2024,Sí,Pendiente,6.3,,Alto,G029,TUT025, JEF020,1,OK,IMMS,O+,Padre,43 1828 1976
ALU0042,134266C0042,Fernanda Diana,Rivera,Luna,01/07/2010,RILF100107MGRVNRK9,f,6°,S6, C,IA,Inteligencia Artificial,Vespertino, SE01,R3gular, ,Destacado,fernandarivera.6c@cbtisi34.edu.mx,+52 868 812 2488, ,Mex1co, mx ,,Puebla,"5 de Mayo #914, Col. PRD",,2026/10/23,beca?,Pendiente,9.8,76%,Alto,G128,TUT016,JEF015,SI,OCR,IMSS,A-,Tutor,(639) 978 2281
ALU0034,134262B0043,Valeria Guadalupe,Canto,Méndez,03/03/08,CAME080303MGRNNST4,F,2°,s2,B,arh,Administración de Recursos Humanos,vespertino, SE01,Regular,8.60,Destacado,esmeraldacanto@alumno.cbtis134.mx,8085651081,NO1,Méxcio, mx ,Coyuca,CDMX, ,39O12,13 Aug 2026,Sí,Pendiente,7.6,,,G038,TUTO19, jef007,0,pendiente,Ninguno,0+,,(668) 315 5455
ALU0044,134263B0044,Chen Yu,Canto,Luna,2006-02-23,CALD060223MGRNNNR9,M,3,3°,b,arh,Administración de Recrusos Humanos,Vespertino, SE01,R3gular,10.0,Confictivo,danielacanto.3b@gmail.com,113-554-3316,n01,México, mx ,,Guerrero,"Benito Juárez #636, Col. CNOP",39689,02.01.2026,NO,Pendiente,>=9,99%,Bajo,g059,TUTO46,JEF042,,No localizada,IMSS,O-,Tía,976-126-2123
ALU0045,134263C0045,Diego Alejandro,Thompson,Clark,21.09.2008,TOCL080921MGRHLCK5,F,3°,3, C,ofi,Ofimática,vespertino,SE01,R3gular,72%,Bajaa,lucasthompson_134@cbtis134.edu.mx,(902) 358 0735,NO5,EE.UU.,EE.UU.,Taxco,Morelos,"Niños Héroes #378, Col. San Rafael Norte",39O12,10/02/24,Sí,pendlente,8.2,83.5,BAJO,G068,tut043,JEFO41,SI,OCR,ISSSTE,O ?,null,+52 231 341 8001
ALU0235,134265C0325,Ricardo Diana,González,Padilla, 2005-12-28,GOPR051228HGRNDCJ9,H,5,S5, C,ia,INTELIGENCIA ARTIFICIAL,Vesperitno ,SE05,Baja definitlva,9.90,baja,ricardogonzalez@alumno.cbtis134.mx,23 3921 9348,NO1,Méxcio,Mex1co,Coyuca,Edo. Mex.,"Calle Juárez #924, Col. Figueroa Mata",39376,08/12/23,,parcial,8.6,59.5,alto ,G107, TUT042,JEF032,0,OK,IMMS,desconocido,Tutor,NA
ALU0047,134261B0047,LUCÍA ELENA,Torres,Galindo,2009/03/13,TOGA090313MGRRLLB5,F,1,I, B,NA,Ofimática,Vespertino,SE01,Regular,7.0,media,alejandratorres.1b@hotmail.com,6434634558, N01, mx ,Mexíco,Coyuca,Morelos,"Calle Juárez #975, Col. RPD ",39O12,12 Jul 2023,s/i,parcia1,7.8,49.1,,G012,TUT026,jef026,,s/d,Particular,NA,Tutor,+52 932 861 5772
ALU0048,134262a0048,Natalia Esmeralda,Rivera,Castillo,15/08/10,RICN100815MGRVSTA4,f,2°,NULL,a,PROG,Programac1ón,vespertino, SE01,Regular,6.80, Reservado,N/A,+52 089 394 2710,n01,Méxcio,Mex.,,,"Hidalgo #97, Col. 20 de Noviembre",39147, 13.01.2026,NO,Pendiente,7.00,"50,0",alto , G029, TUT025,JEF020,s/i,Entregada,ISSSTE,A+,,3404317428
ALU0049,134264C0049,Sofía Alejandra,Ahn,Nam,01/11/2005,AXNJ051101HGRHMWH7,H,4,4°,C ,arh,Administración de Recursos Humanos , Vespertino,SE06,reinscrito,7.4,Excelente,jiwonahn_134 @cbtisI34.edu.mx,2499087929, N03,Corea d3l Sur,Korea South,Quechultenango,CDMX,"Benito Juárez #199, Col. Universal",39O12,27 Apr 2023,No,pendlente,6.8,80%,M3dio, G087, TUT024, JEF017,0,pendiente,ISSSTE,B+,Madre,3811959862
ALU0050,134263A0050 , María Fernanda ,Flores,,25 Mar 2011,FOPD110325HGRLRGH0,M,3°,3 semestre,A ,ARH,null,vespertino, SE01,Reg.,6.8,Bueena,diegoflores@outlook.com,989-587-33O8,N01,Me1xco,Méxcio,1guala,Puebla,"5 de Mayo #641, Col. Figueroa Mata",39O12,23/06/26,Si,Pendiente,7.3,69%,Medio,G052,TUTO51, JEF028,0,OK,Particular,0+,Hermano,5013772813
ALU0051,134264B0051,Hye Jin,Ortega,,03 Aug 2007,OEMJ070803HGRRNNO5,H,4°,4, B,prog,NULL,Vespertino, SE03,Condiclonado,8.4,EXCELENTE,juanortega.4b@hotmail.com,87949682O3,n01,Méxcio,México,,Edo. Méx.,"Av. Lázaro Cárdenas #743, Col. Figueroa Mata",39910, 15 Ja n2024,NO,parcial,null,s/d,alto ,g078,TUT025, JEF009,,OK,N/A,A+,HERMANO,01 3984 8506
ALU0052,134261B0052, Sofía Alejandra ,Castro,Cervantes,27 Aug 2008,CACA080827HGRSRNS6,M,1°,1 semestre,B,ARH,ADMINISTRACIÓN DE RECURSOS HUMANOS,Vespertino,SE03,NULL,7.8,Medla,angelcastro-est@outlook.com,6244432704,n01,MEXICO,Mexíco,Zumpango,CDMX,"16 de Septiembre #272, Col. Centro",39525,2025-10-I9,s/i,PAGADO,"8,1","47,0",Bajo, G010, TUT015,jef014,N/A,pendiente,Ninguno,desconocido,Hermano,0155465715
ALU0053,134265B0053,Seo Jun,Romero,Silva,2O09-05-23,ROSR090523MGRMLNY2 ,F,5,V,s/d,IA,Inteligencia Artificial,Vespertino, SE01, regular,ocho,buena,renataromero_134@cbtisI34.edu.mx,329-351-8930,NO1,MEXICO,MEXICO,,CDMX,"Av. Lázaor Cárdenas #189, Col. Universal",39186,29 Aug 2025,No,parcial,8.5,,Bajo,g100, TUT019,jef041,0,OCR,N/A,O ?,Madre,(625) 819 0261
ALU0054,134264B0054,Chen Yu,Flores,Mora, 24-Apr-06,FOMD060424HGRLRVL6,m,4°,S4,b,CONT,CONTABILIDAD,Vespert1no,SE04,Baja Temporl,76%,N/A,davidflores-est@cbtis134.edu.mx,+52 587 627 4600, N01, mx ,Mexíco,,Puebla,"Benito Juárez #915, Col. Centro",39232,27/01/2025,beca?,parcial,9.1,s/d,M3dio, G081,TUT053,JEFO33,1,No localizada,IMMS,O+, Madre,(522) 920 6775
ALU0055,134266B0055,valeria guadalupe,Torres,Estrada,2009/07/28,TOES090728HGRRSML2,H,6,6°,b,IA,Inteligencia Artificial,Vespertino,se06,Reinscrlto,9.7,Resevado,samtorres-est@cbtisI34.edu.mx,+52 904 462 5536, NO1,MEXICO,Mex1co,Igaula ,,"Av. Insurgentes #649, Col. 20 de Noviembre",,04/04/23,Si,Pendiente,6.50,"62,0",BAJO,g121,TTUO18, JEF010,NO,Entregada,n/a,O+,,077-142-2753
ALU0056,134261D0056,Michael James,Ryu,Bae,10 Jun 2011,RUBH110610HGRYXYX6,M,1°,N/A,D ,lab,Laboratorista Quimico,matutino,se01,Reg.,7.7,Destacado,hyunwooryu.1d@cbtis134.edu.mx,357-371-3296, N03,Korea South,Korea South,,Oaxaca,"Benito Juárez #704, Col. Lomas del Poniente",39503,2026/11/15,s/i,PAGADO,95%,64%,M3dio,G028,TUT049,jef004,NO,No localizada,Ninguno,AB+,Vecino,+52 988 234 4721
